"","BLM_Name","Address_1","Address_2","City","State","Zip_Code","Latitude","Longitude","Phone_Number","Description","Directions","Activities","address","ContactRegion","CAMPING","WATER SPORTS","ENVIRONMENTAL EDUCATION","NON-MOTORIZED BOATING","DAY USE AREA","PADDLE BOATING","WATER ACCESS","RAFTING","WHITEWATER RAFTING","BIRDING","BACKPACKING","INTERPRETIVE PROGRAMS","WILDLIFE VIEWING","FISHING","BOATING","HORSEBACK RIDING","HIKING","OFF HIGHWAY VEHICLE","RECREATIONAL VEHICLES","SENIC DRIVE","PHOTOGRAPHY","CLIMBING","HUNTING","WILDERNESS","INFORMATION SITE","PICNICKING","attraction","contactRegion","Description_Length","Description_Length_Words","Direction_Length","Direction_Length_Words"
"1","18 Road - North Fruita Desert ","North Fruita Desert","18 Road Trailhead","Loma","Colorado","81524",39.334,-108.704,"970-244-3000","Enjoy a system of world class single-track mountain biking trails accessible directly from the adjoining campsites. The trail system and associated camping provide great opportunities to experience the diverse terrain of the desert environment along the base of the Bookcliffs. Food, lodging and other amenities are available nearby in the City of Fruita. For more information related to camping at the North Fruita Desert Campground, visit https://www.blm.gov/visit/nfd-campground Access a map of the mountain bike trail system here: https://copmoba.org/wp-content/uploads/2019/04/north-fruita-desert-trail-map.pdf","Take Interstate 70 west to Fruita (exit 19). Turn north onto Cherry Street and take the first right onto Aspen Avenue. Go through the roundabout and continue on Aspen to Maple Street. Take a left on Maple Street and then travel north. The street will turn into 17.5 Road. Take a right on N.3 Road and then a left on 18 Road. Travel approximately 7 miles on 18 Road to the trailhead, event area and lower campground. Continue 1.5 miles north to reach the upper campground loops. For more information related to camping at the North Fruita Desert Campground, visit https://www.blm.gov/visit/nfd-campground","BIKING CAMPING",NA,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Road",17,615,94,603,106
"2","Alpine Loop ","Gunnison Field Office ","2500 E. New York Ave. ","Gunnison","Colorado","81230",38.0319,-107.3119,"970-642-4940","The Alpine Loop is truly a backcountry experience. Make sure someone knows your travel plans and do your homework before you start your trip. Make sure you have plenty of water, food and fuel to make it to your destination. Electronics and wireless devises DO NOT work in most places on the Alpine Loop. It is recommended that you download or print hard copy maps prior to your trip. The Alpine Loop Backcountry Byway is a rugged 4x4 road that winds through the spectacular scenery of the San Juan Mountains, connecting Lake City, Silverton, and Ouray. The Alpine Loop byway traverses passes up to 12,800 feet while showcasing old mines, ghost towns, natural wonders, beautiful wildflowers, and abundant wildlife. Alpine Loop is an avenue for exploring nature and history amidst thrilling views and stunning geography. Tackling the loop in its entirety is easily an all-day experience event. However, the main loop is only part of the experience; miles of designated side routes allow visitors to either take a short tour or extend their trip to multiple days. For more information, please contact the Gunnison Field Office or see the Alpine Loop brochure.
","From Lake City enter the Alpine Loop on either County Road 30 or County Road 20. From Silverton enter the Alpine Loop on County Road 2. From Ouray enter the Alpine Loop on County Road 18.","OFF HIGHWAY VEHICLE SCENIC DRIVE","Gunnison Field Office  2500 E. New York Ave. ",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Normal",18,1157,193,187,36
"3","Animas Forks  ","Gunnison Field Office","210 West Spencer Street","Gunnison","Colorado","81230",37.93123,-107.57068,"(970) 642-4940","Animas Forks is located on a system of roads known as the Alpine Loop. The loop is a 65-mile (105 km) system of unpaved roads which connects the small mountain towns of Lake City, Ouray, and Silverton. Most of the land in the area is managed by either the U.S. Forest Service or the Bureau of Land Management. The Alpine Loop is visited by over 100,000 people each year. Animas .Forks, at an elevation of 11,200 feet (3,400 m), is more than two miles (3 km) above sea level.

The unimproved road from Silverton to Animas Forks is passable in summer by two-wheel drive vehicles. The road beyond Animas Forks over Engineer Pass to Lake City may require four-wheel drive. The town's first log cabin was built in 1873 and by 1876 the community had become a bustling mining community. At that time the town contained 30 cabins, a hotel, a general store, a saloon, and a post office. By 1883 450 people lived in Animas Forks and in 1882 a newspaper, the Animas Forks Pioneer, began publication and lasted until October 1886. Every fall the residents of Animas Forks migrated en masse to the warmer town of Silverton. In 1884 a 23-day blizzard inundated the town with 25 feet (7.6 m) of snow, the residents had to dig tunnels to get from building to building. Mining, speculation and processing mills helped Animas Forks grow.When mining profits began to decline investment in Animas Forks was no longer justified. Although mining made a brief 1904 rebound with the construction of the Gold Prince Mill the town's mining days were nearing an end. A rail line ran through the area and stimulated interest in mining in the community again but the railroad never reached its expectations. The Gold Prince Mill closed in 1910 and in 1917 most of the mill's major parts were removed for a new facility in Eureka. The mill's dismantling signaled the beginning of the end for Animas Forks. The town was a ghost town by the 1920s.When mining profits began to decline investment in Animas Forks was no longer justified. Although mining made a brief 1904 rebound with the construction of the Gold Prince Mill the town's mining days were nearing an end. A rail line ran through the area and stimulated interest in mining in the community again but the railroad never reached its expectations. The Gold Prince Mill closed in 1910 and in 1917 most of the mill's major parts were removed for a new facility in Eureka. The mill's dismantling signaled the beginning of the end for Animas Forks. The town was a ghost town by the 1920s. 
","Silverton to Animas Forks Ghost Town is a 12.3 mile lightly trafficked point-to-point trail located near Silverton, Colorado and is rated as moderate. The trail is primarily used for off road driving and is best used from May until October.","HISTORIC & CULTURAL SITE OFF HIGHWAY VEHICLE","Gunnison Field Office 210 West Spencer Street",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Normal",8,2513,447,240,42
"4","Animas/Grandview/Skyline RMZ ","Tres Rios Field Office ","29211 Highway 184","Dolores","Colorado","80323",37.22384,-107.85631,"970-882-7296","Within this Recreation Management Zone are three isolated parcels of BLM managed lands which are popular for non-motorized trail activities. The Grandview and Skyline parcels are connected to each other via the Horse Gulch trail system (managed by the city of Durango). The trail system spans a large spectrum of difficulty levels and are heavily used by bikers and hikers/walkers/runners alike. The Animas City Mountain unit contains about 5 miles of trail beginning at 6700' and climbing up to 8,200 ', presenting stunning views of the Durango area and Animas River Valley. This trail system is primarily used by hikers and trail runners, but receives mountain bike use as well. The lower portion of the trail system, in and adjacent to Dalla Mountain Park (managed by the city of Durango), is popular for bouldering. For more information, please contact the Tres Rios Field Office.","The Grandview Ridge and the Skyline area are located on the eastern edge of Durango. The trailheads are all located on city or private property. The Skyline trail is accessed off of the north end of Jenkins Ranch Road, and the Grandview Ridge trails are accessed at three trailheads (Carbon Junction, Big Canyon, and Sale Barn) off of Highway 160, south of Durango. Carbon Junction is technically accessed off of old Highway 3. Animas City Mountain is located at the northern end of Durango. From Main Street, turn west on 32nd street and right on West 3rd Ave. Or, from Main Street, turn west on 25th Street (Junction Creek Road) and access the trails via Dalla Mountain Park.
","BIKING","Tres Rios Field Office  29211 Highway 184",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RMZ",26,884,146,678,118
"5","Ant Hills WSA ","455 Emerson Street",NA,"Craig","Colorado","81625",0,0,"(970) 826-5000","The remote Ant Hills WSA consists of hills and valleys on the southern slopes of Douglas Mountain, which trend southward into Dinosaur National Monument and the Yampa River. The Ant Hills consist of several hills rising 400 to 500 feet above the draws in the southeastern part of the WSA. The area is an extension of the landforms and upper end of drainages found in Dinosaur National Monument. 
There are no developed recreation sites in the Douglas Mountain area, but the area offers opportunities for visitors to enjoy deer and elk hunting, camping, sightseeing, hiking, backpacking and horseback riding.  Motorized and mechanized vehicle travel is limited to existing roads and trails within these WSAs.  Vegetation consists mainly of ponderosa pine, pinyon-juniper woodlands, sagebrush, and native grass communities. Fauna includes mule deer, elk, raptors and other birds, and various small mammals and reptiles.","The Ant Hills WSA is located in Moffat County, approximately 50 miles west of Maybell; 80 miles west of Craig. The area is bordered on the south by Dinosaur National Monument. The Chew Winter Camp, Cross Mountain, Peterson Draw, and Vale of Tears WSAs are also nearby.","CAMPING HIKING HORSEBACK RIDING HUNTING",NA,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,"WSA",10,917,143,268,47
"6","Bangs Backcountry  ","Bangs Canyon Trailhead (Mica Mine)","Little Park Ct","Grand Junction ","Colorado","81507",38.91,-108.566,"970-244-3000","Opportunities for backcountry hiking, horseback riding, hunting and wildlife viewing in a largely undeveloped natural setting.  Easy access from Grand Junction .","From Grand Junction travel west on Hwy 340 and take a left onto Monument Road. Take another left onto D road, which will turn into Rosevale Road. Take a right onto Little Park Road and travel 5 miles - Bangs Canon Trailhead will be on your left.","HIKING HORSEBACK RIDING HUNTING WILDLIFE VIEWING",NA,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,"Wilderness",17,161,21,245,46
"7","Bangs Canyon OHV Trails ","Grand Junction Field Office","2815 H road","Grand Junction ","Colorado","81506",38.99124,-108.61956,"970-244-3000","Opportunities for motorized trail riding from single track motorcycle trails, ATV width trails, rock crawling on the Billings Canyon jeep trail, and 4-wheel drive roads. This area is close to Grand Junction and offers excellent views and scenery.","From Grand Junction take Hwy 340 west and take a left on Monument Road. Take another left onto D Road, which will change to Rosevale Road, and take a right onto Little Park Road. Travel four miles to Third Flats Trailhead or five miles to Bangs Canyon Trailhead.","OFF HIGHWAY VEHICLE RECREATIONAL VEHICLES","Grand Junction Field Office 2815 H road",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"OHV",17,246,39,262,48
"8","Barger Gulch Fishing Access ","Kremmling Field Office ","2103 East Park Avenue ","Kremmling ","Colorado","80459",40.04262,-106.32254,"970-724-3000","The segment of the river from Granby to Kremmling is very popular for fishing and a portion has been designated as Gold Medal Water by the Colorado Division of Wildlife (CDOW). Barger Gulch River Access is one of the fishing accesses that is located along the river.  Barger Gulch is located 3 miles east on County Road 33 Facilities include a parking area.  River access is about 1/8 mile long.","From HWY 40 turn left onto CO.RD. 39 and in 1 mile turn right onto CO. RD. 33 and continue 1.7 miles to parking area on right.","FISHING","Kremmling Field Office  2103 East Park Avenue ",20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Fishing Access",20,395,71,126,27
"9","Bedrock Recreation Site ","Unconmpahgre Field Office","2465 South Townsend Avenue","Montrose","Colorado","81401",38.30409,-108.89525,"(970) 240-5300","The Bedrock site is adjacent to the Dolores River. There is a boat ramp and 4 cabanas with tables, grills, and a large flat area to accommodate additional tents and RVs. There are opportunities for rafting, fishing, hiking and scenic viewing. For more information, please contact the Uncompahgre Field Office.","At Bedrock, at the junction of CO 90 & CR Y9 (just west of the Dolores River bridge at the eastern edge of Bedrock), turn south on CR Y9. Go 1 mile on the dirt road to the site. Bedrock is about 21 mi west of Naturita via CO 141/ CO 90, and about 40 mi west of Norwood via CO 145/ CO 141/ CO 90.","CAMPING","Unconmpahgre Field Office 2465 South Townsend Avenue",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Recreation Site",5,309,50,295,65
"10","Black Canyon WSA ","Black Canyon of the Gunnison Wilderness",NA,"Crawford","Colorado","81415",0,0,"(719) 655-2547","he Black Canyon WSA consists of the western sideslopes and lower mountains of the Sangre de Cristo Range - an uplifted block that began to form by faulting along the Rio Grande rift about 25-30 million years ago.

Intermittent streams have created a maze of valleys, which provide excellent opportunities for recreation, especially hiking. The valleys created by streams provide a stair-step approach to the upper reaches of the mountain slopes. Spotted throughout the area are vistas, which overlook both the peaks of the mountain range and the vastness of the San Luis Valley. Activities include hiking, backpacking, camping, and photography.","The Black Canyon WSA is located in Saguache County on the northeastern edge of the San Luis Valley, approximately 10 miles southeast of Villa Grove; 50 miles north-northeast of Alamosa. The Sangre de Cristo Wilderness (USFS) is also nearby. It is adjacent to the Black Canyon of the Gunnison National Park (NPS). The unusual shape and size of this WSA is due to congressional consideration of adjacent lands as proposed wilderness at the time of the original BLM wilderness inventory. 
","CAMPING HIKING PHOTOGRAPHY",NA,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"WSA",4,644,102,486,81
